sensorId,lat,lon,boxName,boxId,unit,temperatur_2018-10-31T23Z,temperatur_2018-11-01T00Z,temperatur_2018-11-01T01Z,temperatur_2018-11-01T02Z,temperatur_2018-11-01T03Z,temperatur_2018-11-01T04Z,temperatur_2018-11-01T05Z,temperatur_2018-11-01T06Z,temperatur_2018-11-01T07Z,temperatur_2018-11-01T08Z,temperatur_2018-11-01T09Z,temperatur_2018-11-01T10Z,temperatur_2018-11-01T11Z,temperatur_2018-11-01T12Z,temperatur_2018-11-01T13Z,temperatur_2018-11-01T14Z,temperatur_2018-11-01T15Z,temperatur_2018-11-01T16Z,temperatur_2018-11-01T17Z,temperatur_2018-11-01T18Z,temperatur_2018-11-01T19Z,temperatur_2018-11-01T20Z,temperatur_2018-11-01T21Z,temperatur_2018-11-01T22Z,temperatur_2018-11-01T23Z,temperatur_2018-11-02T00Z
5a0c30489fd3c20011115fbe,51.970725,7.631443,Nordschänke,5a0c30489fd3c20011115fb7,°C,11.364833333333333,10.9745,11.038333333333332,11.327166666666667,10.747833333333334,10.086333333333332,9.625499999999999,8.906666666666666,9.213166666666666,10.722333333333333,11.916333333333334,12.634666666666668,12.948833333333333,13.528500000000001,12.79,12.062333333333333,11.615166666666665,11.2165,11.231666666666666,11.151333333333334,10.744576271186439,10.762166666666667,10.87016393442623,10.925166666666666,11.350666666666665,11.680833333333334
5a0c347b9fd3c2001111b708,51.921125,7.620665,VennheideBox,5a0c347b9fd3c2001111b701,°C,9.714,9.618333333333334,9.750833333333333,9.845166666666668,9.600999999999999,9.228666666666667,8.380333333333333,7.449666666666667,7.3053333333333335,8.432666666666666,9.708166666666667,10.335666666666667,10.990666666666666,11.386333333333333,11.056333333333333,10.697166666666668,10.376166666666668,10.145166666666666,10.013833333333334,9.9005,9.827,9.886,9.916666666666666,9.919666666666666,10.306666666666667,10.7195
5a30ea5375a96c000f012fe7,51.951978,7.628977,Münster Süd,5a30ea5375a96c000f012fe0,°C,11.249,10.995333333333333,11.126166666666668,11.312666666666667,10.748166666666666,10.1435,9.506,9.028333333333334,9.7355,11.439666666666666,11.937000000000001,12.302999999999999,12.804,13.212333333333333,12.648333333333333,11.973333333333333,11.513499999999999,11.083333333333334,10.987,10.831999999999999,10.670833333333333,10.791666666666666,10.853333333333333,10.873389830508474,11.3115,11.7095
5a809753398b820011b45e88,51.953156,7.544077,Jackson Storm,5a809753398b820011b45e83,°C,10.715833333333334,10.463,10.601166666666668,10.854833333333334,10.732833333333334,10.387833333333333,10.000666666666666,9.708499999999999,9.422333333333334,10.031333333333333,10.767333333333333,11.266166666666667,11.606333333333334,11.7465,11.735000000000001,11.531166666666667,11.233,11.058833333333332,11.045,10.944833333333332,10.898333333333333,10.909500000000001,10.9725,10.971499999999999,11.192833333333335,11.403166666666666
5ab3dd50850005001bd25b5a,51.972139,7.642386,Wetterfuchs home,5ab3dd50850005001bd25b55,°C,,,,,,,9.51952380952381,8.370476190476191,8.529512195121951,10.42357142857143,12.307857142857141,13.419268292682927,13.930238095238096,13.836666666666666,13.161190476190475,12.66658536585366,12.156428571428572,11.746428571428572,11.592926829268293,11.475238095238094,11.345,11.32047619047619,11.212682926829268,11.127857142857144,,
5abd221b850005001b1aff37,51.973023,7.64153,Feinstaub_MS_PIUSALLEE,5abd221b850005001b1aff35,°C,18.7,18.33888888888889,18.416,18.529166666666665,18.429166666666667,18.054166666666667,17.995833333333334,17.863999999999997,17.5625,18.245833333333334,18.483333333333334,19,18.9625,19.204,19.2375,19.258333333333333,19.25,18.916666666666668,19.229166666666668,18.996,18.804166666666667,18.779166666666665,18.783333333333335,18.70416666666667,18.754166666666666,19.0125
5ac9be65c4edec00190439f1,51.976309,7.626046,PGKN FS01 - Schule,5ac9be65c4edec00190439ef,°C,9.808333333333334,9.129166666666666,9.666666666666666,9.995833333333334,8.968,7.483333333333333,7.3875,6.195833333333333,6.404166666666666,9.104,12.208333333333334,14.366666666666667,15.1625,14.312000000000001,13.225,12.4,11.479166666666666,10.795833333333334,10.604,10.691666666666665,10.700000000000001,10.570833333333333,10.475999999999999,10.404166666666667,11.145833333333334,11.391666666666667
5acfae2a223bd8001977b620,51.988501,7.646677,PGKN FS03,5acfae2a223bd8001977b61e,°C,9.184,9.145833333333334,9.429166666666667,9.691666666666666,9.362499999999999,8.56,7.779166666666666,6.7124999999999995,7.1000000000000005,8.733333333333333,10.204166666666667,11.052,11.522727272727273,11.633333333333333,11.079166666666666,10.568,9.9125,9.704166666666666,9.608333333333333,9.520833333333334,9.454166666666667,9.424,9.4,9.345833333333333,9.75,10.158333333333333
5ae36891223bd8001972fb54,51.957807,7.642804,PGKN FS05,5ae36891223bd8001972fb52,°C,10.191666666666666,9.658333333333333,9.829166666666667,10.104166666666666,9.558333333333334,8.748,8.666666666666666,8.354166666666666,8.2875,9.504166666666666,10.612499999999999,11.558333333333332,12.275,12.47391304347826,12.02,11.475,11.029166666666667,10.575000000000001,10.470833333333333,10.275,10.233333333333333,10.187499999999998,10.175999999999998,10.179166666666665,10.504166666666666,10.929166666666667
5ae36a64223bd80019734631,51.973884,7.615585,PGKN FS07,5ae36a64223bd8001973462f,°C,12.804166666666667,12.412500000000001,12.595999999999998,12.841666666666667,12.820833333333333,12.4,12.054166666666667,11.15,11.104166666666666,11.612,12.658333333333333,13.279166666666667,14.066666666666668,14.079166666666666,13.96,13.75,13.333333333333334,13.095833333333333,12.96,12.800000000000002,12.670833333333333,12.629166666666665,12.732000000000001,12.800000000000002,12.975,13.329166666666667
5b2cc9471fef04001b7b4b44,51.928442,7.667642,TTN Device 1,5b2cc9471fef04001b7b4b3f,°C,18.23,17.74285714285714,16.788888888888888,16.84285714285714,16.733333333333334,15.945454545454545,15.466666666666665,14.680000000000001,15.325,18.41,20.35,21.063636363636363,21.527272727272727,21.91111111111111,21.81,20.614285714285717,19.86,18.16,17.522222222222222,17.7625,17.44,16.849999999999998,16.666666666666668,16.67142857142857,16.711111111111112,16.8875
5b3df6905dc1ec001bcb37a8,51.981769,7.654102,PGKN Test,5b3df6905dc1ec001bcb37a1,°C,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
5b3e7f6f5dc1ec001be11cf4,51.994149,7.569078,U6B GTÜ SSH Bölling & Partner,5b3e7f6f5dc1ec001be11cf1,°C,8.476,7.020416666666667,7.60125,8.655833333333334,7.104583333333333,5.5884,5.739583333333333,4.5945833333333335,5.559166666666667,8.606666666666667,11.681666666666667,13.7875,14.26625,13.543199999999999,12.284166666666666,10.381666666666666,9.649583333333334,9.542916666666667,9.4344,9.325833333333334,9.34625,9.189166666666667,9.293333333333335,9.27,9.932916666666667,10.415833333333333
5bd46cdcc74cf4001bd3361e,51.993416,7.54397,Nienberge Garten,5bd46cdcc74cf4001bd33617,°C,9.829666666666666,9.521803278688525,9.815833333333334,10.393166666666668,9.718166666666667,8.690666666666667,7.608666666666666,7.0953333333333335,6.971,9.011666666666667,11.271666666666667,12.277166666666666,12.798666666666666,12.575833333333332,12.215166666666667,11.315833333333334,10.5295,10.193166666666666,10.108,10.000166666666667,9.974166666666667,9.8585,9.883999999999999,9.883000000000001,10.409833333333333,10.967
